zone_id,zone_name,province,lat,lon,is_outbreak,is_uganda_border,is_kinshasa
GPi6i83o7l6,Bunia,Ituri,1.566,30.25,1,0,0
nv8tx681Gjd,Mongbwalu,Ituri,1.95,30.03,1,0,0
mGTaa8TFifO,Nyankunde,Ituri,1.4,30.1,1,0,0
vPxN2nZnBXK,Rwampara,Ituri,1.3,30.2,1,0,0
