zone_id,zone_name,province,category,is_uganda_border,is_kinshasa,lat,lon,area_km2
DFcltLEKLxj,Aungba,Ituri,other,0,0,2.5670708830760702,30.592536320311343,1049.3222581429138
Uc3GqWS8C0w,Bambu,Ituri,other,0,0,1.8633970955000336,30.20627592724413,455.3381107122613
yS0pmMtanuT,Biringi,Ituri,other,0,0,2.6950359880001145,30.38450803632952,2424.492100714087
rLadlFjzCh7,Boga,Ituri,uganda_border,1,0,0.9822493237397867,30.003461492917513,1130.0511866259444
GPi6i83o7l6,Bunia,Ituri,outbreak,0,0,1.607713140500067,30.282078091482003,122.26020522727916
ApdB8z3Wrxt,Damas,Ituri,other,0,0,2.1976361605001387,30.229346408586434,1843.3112935597117
OIhgsXcZf6x,Drodro,Ituri,other,0,0,1.7484347510000475,30.586912835820826,650.5518738450378
FDNwbfrJhkA,Fataki,Ituri,other,0,0,1.9004797405000886,30.565348794325672,396.07061579849005
X8zFJ7DJlRD,Gety,Ituri,uganda_border,1,0,1.253148786140514,30.189368117956285,1616.1867368364685
SkEKQLSulmp,Kambala,Ituri,other,0,0,2.313255370000064,30.547371294734642,1222.5229045805565
sbyWSsdZ3tj,Kilo,Ituri,other,0,0,1.7598275375000298,30.080701985660504,341.11724267369505
i2mtQy4nTmD,Komanda,Ituri,other,0,0,1.1261791000000585,29.62557262065517,3158.13168226165
n1N4M95juaC,Laybo,Ituri,other,0,0,3.3788149590000955,30.461109982007052,1467.3855168282514
xGWcGHazqtw,Lita,Ituri,other,0,0,1.588332974500048,30.38710948970807,476.16225230864165
qqGoQGSp1Dw,Logo,Ituri,uganda_border,1,0,2.155727226000039,30.877556277526388,294.41589544949727
xp3Y1OXHZLj,Lolwa,Ituri,other,0,0,1.4666692450000482,29.46470993607435,4727.301693998617
seNn0NUsKYn,Mahagi,Ituri,uganda_border,1,0,2.3021508495800296,30.865062342480392,561.2479815218794
RjHZChl5gJQ,Mambasa,Ituri,other,0,0,1.4290391459577108,28.62314089055854,17161.771594646118
YpXUkTbtAPA,Mandima,Ituri,other,0,0,0.9848691425853815,29.17200687013976,1904.5145468869728
nv8tx681Gjd,Mongbwalu,Ituri,outbreak,0,0,2.1202041400000837,29.46395014319073,5886.294610964769
tWlaqwSUheI,Nia Nia,Ituri,other,0,0,1.2427385998752243,28.05788124606277,7401.277411196665
TCE5waEW7Fi,Nizi,Ituri,other,0,0,1.7491092545000129,30.29386589242562,199.30574040456676
mGTaa8TFifO,Nyankunde,Ituri,outbreak,0,0,1.4866449679154434,29.933917392135683,840.0851091292052
gyRgzU4sTgY,Nyarambe,Ituri,uganda_border,1,0,2.1891624490000368,31.158615440186434,450.74216012710133
hWMdKGgsAIz,Rethy,Ituri,uganda_border,1,0,2.067584626979319,30.72172294331961,625.0082399772857
a2aJcbwnjoK,Rimba,Ituri,other,0,0,2.2214134000000456,30.706000954123333,342.4900038731102
vPxN2nZnBXK,Rwampara,Ituri,outbreak,0,0,1.5710652340000308,30.08327315923981,703.0557456013512
rhj4btTd3i0,Tchomia,Ituri,uganda_border,1,0,1.5216207475000374,30.468986199294,419.5719035035204
Z3lr3MOHNLH,Dekese,Kasaï,other,0,0,-3.2277392039999597,21.413567116847585,26560.58511743229
g9sayFS8d1p,Ilebo,Kasaï,other,0,0,-4.327775201999959,20.683598338633455,748.2804349820145
y1bSl3YWtJm,Kakenge,Kasaï,other,0,0,-4.643683189499939,22.029057593848187,3352.550871083234
BTGp4czwZRN,Kamonia,Kasaï,other,0,0,-6.920222849999959,20.87109407626876,4321.711945207714
YyPtkSv7bB3,Kanzala,Kasaï,other,0,0,-6.563024645499951,20.84253713586781,492.6372159619457
d9la4YKNnto,Luebo,Kasaï,other,0,0,-5.597893957499963,21.596821190650743,5555.261544796727
g0UqlSRyINa,Mutena,Kasaï,other,0,0,-4.7852,21.03948,
dw1XnGf2aaU,Mweka,Kasaï,other,0,0,-5.069853575999957,21.41097765792555,3134.4613562007667
rsaI3zncNG9,Tshikapa,Kasaï,other,0,0,-6.574751865499934,20.617799127845583,2000.9322880348911
HYPBUncgldT,Bena Leka,Kasaï Central,other,0,0,-6.09995,22.45544,
dwBRSfVBpk6,Katoka,Kasaï Central,other,0,0,-5.85517,22.23969,
SAt8yoeSMjD,Lukonga,Kasaï Central,other,0,0,-6.01067,22.3633,
csMZZqDFCvW,Mikalayi,Kasaï Central,other,0,0,-5.9331,22.35988,
U6rNBblejC5,Tshikaji,Kasaï Central,other,0,0,-5.989921701499952,22.466299853462395,109.36928606940751
xx5xiY5vVBa,Bipemba,Kasaï Oriental,other,0,0,-6.095123199999932,23.57992566256435,11.456829648088243
ZxyZ7L3ynso,Bonzola,Kasaï Oriental,other,0,0,-6.141052599999966,23.58906269505001,28.60301066736169
Z5I1TvCKVcG,Dibindi,Kasaï Oriental,other,0,0,-6.36574,23.48602,
f1b3q0aLFzW,Diulu,Kasaï Oriental,other,0,0,-6.098329749999948,23.601612684274606,8.857838685922292
HN9etyIXrEE,Kansele,Kasaï Oriental,other,0,0,-6.111563399999966,23.612542792157324,4.165641167012123
ucEXrvC3lau,Lukelenge,Kasaï Oriental,other,0,0,-6.116289312999953,23.64594216287762,18.320811229052957
amSVlGShY91,Nzaba,Kasaï Oriental,other,0,0,-6.13947,23.54429,
BjbUZ5acV7t,Bandalungwa,Kinshasa,kinshasa,0,1,-4.3500984969102205,15.283527192025034,4.2840873993397715
uw3SOxNTDP4,Barumbu,Kinshasa,kinshasa,0,1,-4.317057999999889,15.32463865676101,3.8979536943659157
ShcGSNMpF7z,Binza Meteo,Kinshasa,kinshasa,0,1,-4.39828232849996,15.247530807245965,31.070490766786165
m5B0okd0KaZ,Binza Ozone,Kinshasa,kinshasa,0,1,-4.349731031499914,15.224841398806895,40.8980016154024
QzpHCAKe31e,Biyela,Kinshasa,kinshasa,0,1,-4.44051478399993,15.403761883866366,22.504071795508487
sZ2goXLKmQX,Bumbu,Kinshasa,kinshasa,0,1,-4.3725389879999454,15.297995115711036,4.504025845650116
L3vMLScAbZ6,Gombe,Kinshasa,kinshasa,0,1,-4.3094311554999365,15.29282549378932,12.566662767467003
D1jF9OzETge,Kalamu 1,Kinshasa,kinshasa,0,1,-4.349442043499948,15.312472628636176,3.8197150860631637
Z3DMBdrM8Df,Kalamu 2,Kinshasa,kinshasa,0,1,-4.3571285452080115,15.318653730666902,2.1122897012886295
TuzDrpZ9zzl,Kasa Vubu,Kinshasa,kinshasa,0,1,-4.3429956399999154,15.301514595866134,3.3359924304307964
