zone_id,zone_name,province,prov_n,name_n,match_score,match_method,matched
ZwpyTsxIyb3,Itombwe,Sud-Kivu,sud kivu,itombwe,1.0,exact,True
zqUe1DuDMxH,Kabare,Sud-Kivu,sud kivu,kabare,,,False
bfFprcRp0YO,Kadutu,Sud-Kivu,sud kivu,kadutu,1.0,exact,True
OWrtstWKEly,Kalehe,Sud-Kivu,sud kivu,kalehe,,,False
euP5fSU9vky,Kalole,Sud-Kivu,sud kivu,kalole,,,False
iPD8STDLALc,Kalonge,Sud-Kivu,sud kivu,kalonge,,,False
rv3KA7DrJCO,Kamituga,Sud-Kivu,sud kivu,kamituga,1.0,exact,True
TpB2SUwsDbn,Katana,Sud-Kivu,sud kivu,katana,,,False
a2dADiJAGrT,Kaziba,Sud-Kivu,sud kivu,kaziba,,,False
lF2aCHDydzn,Kimbi Lulenge,Sud-Kivu,sud kivu,kimbi lulenge,1.0,exact,True
n1r14Rh3NvB,Kitutu,Sud-Kivu,sud kivu,kitutu,1.0,exact,True
XFUHGajCqjY,Lemera,Sud-Kivu,sud kivu,lemera,1.0,exact,True
UkT2MUS83YY,Lulingu,Sud-Kivu,sud kivu,lulingu,,,False
oNybyvjU5ZT,Minova,Sud-Kivu,sud kivu,minova,,,False
JzBIOZSJfmJ,Mubumbano,Sud-Kivu,sud kivu,mubumbano,,,False
tJmFpEp4TCb,Mulungu,Sud-Kivu,sud kivu,mulungu,,,False
nfYQfVxJRyJ,Mwana,Sud-Kivu,sud kivu,mwana,,,False
Q3HTytyiRyL,Mwenga,Sud-Kivu,sud kivu,mwenga,1.0,exact,True
pWBu6qPNvdv,Nundu,Sud-Kivu,sud kivu,nundu,1.0,exact,True
sai4xbqW0CL,Nyangezi,Sud-Kivu,sud kivu,nyangezi,,,False
R1E0VjRQ4SN,Nyantende,Sud-Kivu,sud kivu,nyantende,,,False
jkonpGckbPg,Ruzizi,Sud-Kivu,sud kivu,ruzizi,1.0,exact,True
MOESL4KbKoV,Shabunda,Sud-Kivu,sud kivu,shabunda,1.0,exact,True
mx8PkwuIR5x,Uvira,Sud-Kivu,sud kivu,uvira,,,False
x4xQfjclCTo,Walungu,Sud-Kivu,sud kivu,walungu,,,False
aVeCzXx2CDZ,Bangabola,Sud-Ubangi,sud ubangi,bangabola,,,False
izt3XGlBrmK,Bokonzi,Sud-Ubangi,sud ubangi,bokonzi,,,False
FzA1yCf8PY7,Boto,Sud-Ubangi,sud ubangi,boto,,,False
J1nws7yZLvv,Budjala,Sud-Ubangi,sud ubangi,budjala,1.0,exact,True
uCYafBxBtO8,Bulu,Sud-Ubangi,sud ubangi,bulu,,,False
hlvN8zeyDZz,Bwamanda,Sud-Ubangi,sud ubangi,bwamanda,0.9333333333333333,fuzzy,True
F2sZHvPlln6,Gemena,Sud-Ubangi,sud ubangi,gemena,1.0,exact,True
C6xrZPQNxHd,Kungu,Sud-Ubangi,sud ubangi,kungu,,,False
ArdlF8PnpYL,Libenge,Sud-Ubangi,sud ubangi,libenge,,,False
GMlNzqj2WDG,Ndage,Sud-Ubangi,sud ubangi,ndage,,,False
nX75O17I2sY,Tandala,Sud-Ubangi,sud ubangi,tandala,,,False
QNFYEQrW7Dy,Zongo,Sud-Ubangi,sud ubangi,zongo,,,False
dihBljVQG6z,Ankoro,Tanganyika,tanganyika,ankoro,1.0,exact,True
QmaankDWQSm,Kabalo,Tanganyika,tanganyika,kabalo,1.0,exact,True
kH7KijWY3eF,Kalemie,Tanganyika,tanganyika,kalemie,1.0,exact,True
dj29qACRqOf,Kansimba,Tanganyika,tanganyika,kansimba,1.0,exact,True
rDRhOPd3q1u,Kongolo,Tanganyika,tanganyika,kongolo,1.0,exact,True
oU2G5jtXxFx,Manono,Tanganyika,tanganyika,manono,1.0,exact,True
W7IdWpJnPra,Mbulula,Tanganyika,tanganyika,mbulula,1.0,exact,True
adxBRCwSlWc,Moba,Tanganyika,tanganyika,moba,1.0,exact,True
SpDmHrCCVal,Nyemba,Tanganyika,tanganyika,nyemba,1.0,exact,True
uz41FkMd6Gb,Nyunzu,Tanganyika,tanganyika,nyunzu,1.0,exact,True
jaNYqjAceGA,Bafwagbogbo,Tshopo,tshopo,bafwagbogbo,0.9090909090909091,fuzzy,True
pLBZiohnxFC,Bafwasende,Tshopo,tshopo,bafwasende,1.0,exact,True
WxBLTUjeyfB,Banalia,Tshopo,tshopo,banalia,1.0,exact,True
SxrrguFFktT,Basoko,Tshopo,tshopo,basoko,1.0,exact,True
dtBcztLoZpn,Isangi,Tshopo,tshopo,isangi,1.0,exact,True
Al5GBxzCgMe,Kabondo,Tshopo,tshopo,kabondo,1.0,exact,True
I9d1F9TGn33,Lubunga,Tshopo,tshopo,lubunga,1.0,exact,True
ZHIrX4z487c,Makiso Kisangan,Tshopo,tshopo,makiso kisangan,,,False
wOWB7WbNuSN,Mangobo,Tshopo,tshopo,mangobo,1.0,exact,True
G1OIhUfxLw5,Opienge,Tshopo,tshopo,opienge,1.0,exact,True
IMkgSD6FVjc,Tshopo,Tshopo,tshopo,tshopo,1.0,exact,True
ThkZT6koPKj,Ubundu,Tshopo,tshopo,ubundu,1.0,exact,True
RowlA1nBHee,Wanierukula,Tshopo,tshopo,wanierukula,1.0,exact,True
HHv5opVWeoY,Yahisuli,Tshopo,tshopo,yahisuli,1.0,exact,True
quf7vedArhs,Yahuma,Tshopo,tshopo,yahuma,1.0,exact,True
S8Vd8dUvIqT,Yaleko,Tshopo,tshopo,yaleko,1.0,exact,True
CPZTm1VIXB9,Yalimbongo,Tshopo,tshopo,yalimbongo,1.0,exact,True
Uyz1XxXNBKB,Boende,Tshuapa,tshuapa,boende,1.0,exact,True
PpY62UBIBEf,Busanga,Tshuapa,tshuapa,busanga,1.0,exact,True
J7p1ASHGpX4,Djolu,Tshuapa,tshuapa,djolu,1.0,exact,True
hM2ZsK1vEox,Lingomo,Tshuapa,tshuapa,lingomo,1.0,exact,True
VnNdiJcF3rF,Monkoto,Tshuapa,tshuapa,monkoto,1.0,exact,True
qa0zXM6tGPJ,Wema,Tshuapa,tshuapa,wema,1.0,exact,True
