checked_at_utc,organization,kind,status,change_status,title,source_url,content_hash,error
2026-09-04T16:20:15.941645+00:00,WHO,response,200,unchanged,Ebola outbreak - DRC 2026,https://www.who.int/emergencies/situations/ebola-outbreak---drc-2026,a6384058d02eb43c0c5038075d6e3e9f863384c379d3885d92e0467ade593b88,
2026-09-04T16:20:16.410025+00:00,WHO,response,200,unchanged,Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news,966d80c22997be65834753097d7a6d91bd1e50ff7a9b59b83845098641c5aafe,
2026-09-04T16:20:17.289620+00:00,ECDC,response,200,changed,Ebola disease outbreak in the Democratic Republic of the Congo,https://www.ecdc.europa.eu/en/ebola-outbreak-democratic-republic-congo-and-uganda,6e60e90f6f8df30bc7faff1c9c0d609bc3d0ec1f029a8f838df6787b48f776b3,
2026-09-04T16:20:17.493532+00:00,CDC,response,200,unchanged,Ebola Outbreak: Current Situation | Ebola | CDC,https://www.cdc.gov/ebola/situation-summary/index.html,9f45a7c35389c55da13573295222b2311870139d1d6cb71f7a977db0572abf72,
2026-09-04T16:20:19.575072+00:00,Africa CDC,response,200,unchanged,News – Africa CDC,https://africacdc.org/news/,32005b80e9f2600c786c95707337d223de39600b757f7d46561c02412292fe3e,
2026-09-04T16:20:20.870589+00:00,MSF,response,200,unchanged,Latest MSF contents,https://www.msf.org/latest,04b1282ec9f336541f49c87c907b9b4e46c80ca9faf629a7a536eee7147ccd63,
2026-09-04T16:20:22.176511+00:00,CEPI,rd,200,unchanged,News,https://cepi.net/news,2b04c2893e37d9804a1ed8edcb96866db334105d278d50dbdf92d07c7d2fb225,
2026-09-04T16:20:25.297229+00:00,Gavi,rd,fetch_error,error,,https://www.gavi.org/news/media-room,,<HTTPError 404: 'Not Found'>
