case_id,country,province_or_region,health_zone,case_classification,outcome,date_reported,source_name,source_url,inferred_flag,data_quality_note
DRC-AGG-20260531-ITURI-001,DRC,Ituri,,confirmed,unknown,2026-05-31,ECDC situation page,https://www.ecdc.europa.eu/en/ebola-outbreak-democratic-republic-congo-and-uganda,TRUE,"Aggregate-derived record representing 264 confirmed cases; not an individual line list"
DRC-AGG-20260531-NKIVU-001,DRC,North Kivu,,confirmed,unknown,2026-05-31,ECDC situation page,https://www.ecdc.europa.eu/en/ebola-outbreak-democratic-republic-congo-and-uganda,TRUE,"Aggregate-derived record representing 15 confirmed cases; not an individual line list"
DRC-AGG-20260531-SKIVU-001,DRC,South Kivu,,confirmed,unknown,2026-05-31,ECDC situation page,https://www.ecdc.europa.eu/en/ebola-outbreak-democratic-republic-congo-and-uganda,TRUE,"Aggregate-derived record representing 3 confirmed cases; not an individual line list"
UGA-AGG-20260529-KAMPALA-001,Uganda,Kampala,,confirmed,unknown,2026-05-29,WHO Disease Outbreak News DON605,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON605,TRUE,"Aggregate-derived record representing 8 confirmed cases; not an individual line list"
UGA-AGG-20260529-WAKISO-001,Uganda,Wakiso,,confirmed,unknown,2026-05-29,WHO Disease Outbreak News DON605,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON605,TRUE,"Aggregate-derived record representing 1 confirmed case; not an individual line list"
