checked_at_utc,organization,kind,status,change_status,title,source_url,content_hash,error
2026-09-23T11:33:14.866256+00:00,WHO,response,200,unchanged,Ebola outbreak - DRC 2026,https://www.who.int/emergencies/situations/ebola-outbreak---drc-2026,a6384058d02eb43c0c5038075d6e3e9f863384c379d3885d92e0467ade593b88,
2026-09-23T11:33:15.586005+00:00,WHO,response,200,unchanged,Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news,966d80c22997be65834753097d7a6d91bd1e50ff7a9b59b83845098641c5aafe,
2026-09-23T11:33:17.711414+00:00,ECDC,response,200,unchanged,Ebola disease outbreak in the Democratic Republic of the Congo,https://www.ecdc.europa.eu/en/ebola-outbreak-democratic-republic-congo-and-uganda,3fa7e873d4cc43185ffff0a0b91e2a391e0052f6391279a5bd8ae56defc5e210,
2026-09-23T11:33:17.855547+00:00,CDC,response,200,unchanged,Ebola Outbreak: Current Situation | Ebola | CDC,https://www.cdc.gov/ebola/situation-summary/index.html,4bf177791777fda846424b503994defe9e2d4750456d72d7754c0552fe55e547,
2026-09-23T11:33:19.883666+00:00,Africa CDC,response,200,unchanged,News – Africa CDC,https://africacdc.org/news/,1754ca40eec28361366c1e29cb2603f429dc77115503bc75f4df6dfd71d428ab,
2026-09-23T11:33:21.041589+00:00,MSF,response,200,unchanged,Latest MSF contents,https://www.msf.org/latest,c47c343d959eaafc86d3501811bcf9251f4c4e58026ce2bbe32355faacc415f5,
2026-09-23T11:33:22.223690+00:00,CEPI,rd,200,unchanged,News,https://cepi.net/news,b7f56d329cd771e15c161a966a8d2b76f94b9d408d2632cafa7eb8b36d392586,
2026-09-23T11:33:22.936979+00:00,Gavi,rd,fetch_error,error,,https://www.gavi.org/news/media-room,,<HTTPError 404: 'Not Found'>
